phone_number,number_type,call_time,hour_bucket,first_contact_type,has_prior_history,has_repeat_contact,repeat_gap,in_contacts,is_num_in_msg,inner_num_differs,msg_number_official_match,sms_to_call,sms_to_call_gap,is_url_in_msg,is_reliable_url,has_appinstall_link,is_carrier_altered,number_cluster,using_duration,unique_callees,is_global,is_sequential_callers,structural_phishing_score,is_sms_initiated_unreg,cold_contact,repeat_pressure_intensity,is_phishing,incident_type
15448527,특번,2026-09-02 04:56:00,4.0,0,0,0,,0,0,,,1,11.35,0,,,,,,,0,0,0.0,1,1,0.0,0,normal
03180751228,기타,2026-03-09 07:45:00,7.0,0,0,0,,0,1,1.0,1.0,0,,0,,,,,,,0,0,2.0,1,1,0.0,0,normal
01000012112,010,2026-09-14 01:19:00,1.0,0,1,1,46.7,1,0,,,0,,1,1.0,0.0,,,,,0,0,1.0,0,0,0.020964360587002094,0,normal
15991111,특번,2026-09-06 05:19:00,5.0,0,0,0,,0,1,0.0,1.0,0,,1,1.0,1.0,,,,,0,1,3.0,1,1,0.0,0,normal
01067865872,010,2026-10-01 23:54:00,23.0,0,1,1,37.41,1,0,,,0,,0,,,,,,,0,0,0.0,0,0,0.02603488674824265,0,normal
01008427494,010,2026-11-03 08:46:00,8.0,0,1,0,,1,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,0,0,0.0,0,normal
16004000,특번,2026-02-26 06:53:00,6.0,1,0,0,,0,0,,,0,,1,1.0,0.0,,,,,0,0,1.0,0,1,0.0,0,normal
15443000,특번,2026-05-19 15:54:00,15.0,0,0,1,47.62,0,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,1,1,0.020567667626491155,0,normal
15888801,특번,2026-03-26 15:05:00,15.0,1,0,0,,0,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,0,1,0.0,0,normal
01093311803,010,2026-01-18 20:10:00,20.0,1,1,1,0.59,1,0,,,0,,1,1.0,0.0,,,,,0,0,1.0,0,0,0.628930817610063,0,normal
01086981045,010,2026-05-01 09:54:00,9.0,1,1,1,179.19,1,0,,,0,,1,1.0,0.0,,,,,0,0,1.0,0,0,0.005549697541483989,0,normal
15665050,특번,2026-07-22 01:53:00,1.0,1,0,0,,0,1,1.0,1.0,0,,0,,,,,,,0,0,2.0,0,1,0.0,0,normal
15448000,특번,2026-11-17 07:21:00,7.0,1,0,0,,0,1,0.0,1.0,0,,1,1.0,0.0,,,,,0,0,2.0,0,1,0.0,0,normal
00023088504,00X(국제),2026-07-03 13:22:00,13.0,0,0,0,,0,1,1.0,1.0,0,,0,,,,,,,1,0,2.0,1,1,0.0,0,normal
15886565,특번,2026-05-22 15:25:00,15.0,0,0,0,,1,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,0,0,0.0,0,normal
0213798159,02(서울 유선),2026-12-03 15:19:00,15.0,0,0,0,,0,0,,,0,,1,1.0,0.0,,,,,0,0,1.0,1,1,0.0,0,normal
0261676061,02(서울 유선),2026-10-01 20:25:00,20.0,0,0,0,,0,0,,,1,0.37,0,,,,,,,0,0,0.0,1,1,0.0,0,normal
15447758,특번,2026-06-12 16:02:00,16.0,1,0,1,0.74,0,0,,,0,,1,1.0,0.0,,,,,0,0,1.0,0,1,0.5747126436781609,0,normal
15888000,특번,2026-02-18 23:11:00,23.0,0,0,0,,0,0,,,0,,0,,,,,,,0,0,0.0,1,1,0.0,0,normal
15999999,특번,2026-08-05 06:50:00,6.0,1,0,0,,0,0,,,0,,0,,,,,,,0,0,0.0,0,1,0.0,0,normal
01031447507,010,2026-05-05 00:36:00,0.0,1,1,1,1.97,1,1,0.0,1.0,0,,1,1.0,0.0,,,,,0,0,2.0,0,0,0.3367003367003367,0,normal
15660123,특번,2026-12-22 08:02:00,8.0,0,0,0,,0,0,,,0,,0,,,,,,,0,0,0.0,1,1,0.0,0,normal
15669009,특번,2026-03-25 05:46:00,5.0,1,0,1,5.94,0,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,0,1,0.1440922190201729,0,normal
023370415,02(서울 유선),2026-01-22 17:17:00,17.0,1,0,1,14.07,0,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,0,1,0.06635700066357,0,normal
18264529,특번,2026-09-16 17:13:00,17.0,1,0,0,,0,0,,,0,,0,,,,,,,0,1,0.0,0,1,0.0,0,normal
15778000,특번,2026-11-16 11:41:00,11.0,0,0,0,,0,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,1,1,0.0,0,normal
15446399,특번,2026-03-05 16:27:00,16.0,1,0,0,,0,1,1.0,1.0,0,,1,1.0,0.0,,,,,0,0,3.0,0,1,0.0,0,normal
16000400,특번,2026-08-05 19:38:00,19.0,1,0,0,,0,0,,,0,,0,,,,,,,0,0,0.0,0,1,0.0,0,normal
15990903,특번,2026-06-21 05:38:00,5.0,1,0,0,,0,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,0,1,0.0,0,normal
15999999,특번,2026-12-10 04:26:00,4.0,0,0,0,,0,0,,,0,,0,,,,,,,0,0,0.0,1,1,0.0,0,normal
07012471,070(인터넷전화),2026-02-13 12:14:00,12.0,1,0,0,,0,1,0.0,1.0,0,,1,1.0,0.0,,,,,0,0,2.0,0,1,0.0,0,normal
15778000,특번,2026-12-20 01:35:00,1.0,0,0,0,,0,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,1,1,0.0,0,normal
15221155,특번,2026-04-26 16:41:00,16.0,0,0,0,,0,0,,,0,,0,,,,,,,0,0,0.0,1,1,0.0,0,normal
01052504791,010,2026-01-29 10:21:00,10.0,0,1,1,49.23,1,0,,,0,,0,,,,,,,0,0,0.0,0,0,0.019908421262193908,0,normal
15440010,특번,2026-01-20 02:24:00,2.0,1,0,0,,1,0,,,0,,1,1.0,0.0,,,,,0,0,1.0,0,0,0.0,0,normal
01052389400,010,2026-12-25 10:00:00,10.0,0,1,1,173.35,1,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,0,0,0.005735589331803843,0,normal
01073191845,010,2026-11-12 17:13:00,17.0,0,1,1,96.49,1,0,,,0,,0,,,,,,,0,0,0.0,0,0,0.010257462303826034,0,normal
0624160113,기타,2026-03-23 13:02:00,13.0,0,0,0,,0,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,1,1,0.0,0,normal
16449999,특번,2026-08-23 07:02:00,7.0,0,0,0,,0,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,1,1,0.0,0,normal
15221000,특번,2026-12-16 17:35:00,17.0,0,0,0,,0,1,0.0,1.0,1,19.77,1,1.0,0.0,,,,,0,0,2.0,1,1,0.0,0,normal
16004000,특번,2026-08-21 09:25:00,9.0,0,0,0,,0,1,0.0,1.0,0,,1,1.0,0.0,,,,,0,0,2.0,1,1,0.0,0,normal
15888585,특번,2026-08-18 10:59:00,10.0,0,0,0,,0,0,,,0,,0,,,,,,,0,1,0.0,1,1,0.0,0,normal
01070622859,010,2026-11-08 11:00:00,11.0,0,1,1,288.9,1,0,,,0,,0,,,,,,,0,0,0.0,0,0,0.0034494653328734047,0,normal
15662566,특번,2026-05-04 10:50:00,10.0,0,0,0,,0,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,1,1,0.0,0,normal
01063506593,010,2026-02-01 11:02:00,11.0,1,1,1,0.44,1,0,,,0,,1,1.0,0.0,,,,,0,0,1.0,0,0,0.6944444444444444,0,normal
15669009,특번,2026-10-17 02:57:00,2.0,0,0,1,88.56,0,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,1,1,0.011165698972755694,0,normal
0220269955,02(서울 유선),2026-07-13 20:08:00,20.0,0,0,0,,0,0,,,0,,0,,,,,,,0,0,0.0,1,1,0.0,0,normal
15888377,특번,2026-10-30 23:36:00,23.0,1,0,0,,0,1,0.0,1.0,0,,1,1.0,0.0,,,,,0,0,2.0,0,1,0.0,0,normal
0808221416,기타,2026-02-03 09:49:00,9.0,0,0,0,,0,0,,,0,,1,1.0,0.0,,,,,0,0,1.0,1,1,0.0,0,normal
01074189901,010,2026-10-19 12:15:00,12.0,0,1,0,,1,1,0.0,1.0,1,1.89,1,1.0,0.0,,,,,0,0,2.0,0,0,0.0,0,normal
15886565,특번,2026-01-27 12:25:00,12.0,0,0,0,,0,1,0.0,0.0,0,,1,1.0,0.0,,,,,0,0,2.0,1,1,0.0,0,normal
15771000,특번,2026-06-20 07:32:00,7.0,0,0,1,25.19,0,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,1,1,0.038182512409316534,0,normal
15887000,특번,2026-01-16 02:14:00,2.0,0,0,0,,0,1,1.0,1.0,0,,0,,,,,,,0,0,2.0,1,1,0.0,0,normal
07038127,070(인터넷전화),2026-05-19 21:33:00,21.0,0,0,0,,0,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,1,1,0.0,0,normal
0212015268,02(서울 유선),2026-12-14 15:20:00,15.0,0,0,0,,0,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,1,1,0.0,0,normal
027734612,02(서울 유선),2026-02-13 08:31:00,8.0,0,0,0,,0,0,,,0,,1,1.0,0.0,,,,,0,0,1.0,1,1,0.0,0,normal
16586250,특번,2026-11-20 18:54:00,18.0,0,0,0,,0,1,0.0,1.0,0,,1,1.0,0.0,,,,,0,0,2.0,1,1,0.0,0,normal
01022964368,010,2026-12-25 01:42:00,1.0,0,1,1,6.31,1,0,,,0,,0,,,,,,,0,0,0.0,0,0,0.13679890560875513,0,normal
01058073556,010,2026-07-22 12:15:00,12.0,1,1,0,,1,0,,,0,,0,,,,,,,0,0,0.0,0,0,0.0,0,normal
15443002,특번,2026-10-25 00:55:00,0.0,1,0,0,,0,0,,,0,,1,1.0,0.0,,,,,0,0,1.0,0,1,0.0,0,normal
15661277,특번,2026-06-15 17:29:00,17.0,0,0,0,,0,1,0.0,1.0,0,,1,1.0,0.0,,,,,0,0,2.0,1,1,0.0,0,normal
16691517,특번,2026-04-06 10:34:00,10.0,0,0,0,,0,0,,,0,,1,1.0,0.0,,,,,0,0,1.0,1,1,0.0,0,normal
15885050,특번,2026-10-25 15:54:00,15.0,0,0,0,,0,0,,,1,3.83,1,1.0,0.0,,,,,0,0,1.0,1,1,0.0,0,normal
16008172,특번,2026-10-08 04:16:00,4.0,0,0,1,41.28,0,0,,,0,,1,1.0,0.0,,,,,0,0,1.0,1,1,0.023651844843897825,0,normal
01020500800,010,2026-01-27 11:47:00,11.0,0,1,1,1.36,1,1,0.0,1.0,1,12.2,0,,,,,,,0,0,1.0,0,0,0.42372881355932196,0,normal
01095986719,010,2026-12-28 14:45:00,14.0,1,1,1,371.29,1,0,,,0,,0,,,,,,,0,0,0.0,0,0,0.0026860780574283487,0,normal
01026546294,010,2026-07-07 03:51:00,3.0,0,1,0,,1,1,0.0,1.0,0,,1,1.0,0.0,,,,,0,0,2.0,0,0,0.0,0,normal
15661277,특번,2026-01-25 17:15:00,17.0,0,0,1,0.54,0,0,,,0,,1,1.0,0.0,,,,,0,0,1.0,1,1,0.6493506493506493,0,normal
01064760736,010,2026-05-30 17:44:00,17.0,0,0,0,,0,0,,,1,1626.96,1,0.0,0.0,,,,,0,0,2.0,1,1,0.0,1,acquaintance
15991900,특번,2026-07-19 18:57:00,18.0,0,0,0,,0,0,,,0,,0,,,,,,,0,0,0.0,1,1,0.0,0,normal
01032505006,010,2026-12-28 13:38:00,13.0,1,1,0,,1,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,0,0,0.0,0,normal
15882588,특번,2026-02-03 15:29:00,15.0,0,0,0,,0,1,1.0,1.0,0,,0,,,,,,,0,0,2.0,1,1,0.0,0,normal
01053605004,010,2026-10-23 20:37:00,20.0,1,1,1,24.16,1,0,,,0,,0,,,,,,,0,0,0.0,0,0,0.0397456279809221,0,normal
01053042766,010,2026-06-04 21:06:00,21.0,0,1,0,,1,0,,,1,18.07,0,,,,,,,0,0,0.0,0,0,0.0,0,normal
16004000,특번,2026-05-14 03:43:00,3.0,0,0,0,,0,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,1,1,0.0,0,normal
01028793570,010,2026-05-24 19:07:00,19.0,0,1,1,151.49,1,0,,,0,,0,,,,,,,0,0,0.0,0,0,0.0065578070693160205,0,normal
16008585,특번,2026-02-26 02:47:00,2.0,1,0,0,,0,0,,,0,,1,1.0,0.0,,,,,0,0,1.0,0,1,0.0,0,normal
15883570,특번,2026-11-16 17:48:00,17.0,0,0,0,,0,0,,,0,,0,,,,,,,0,0,0.0,1,1,0.0,0,normal
01062082759,010,2026-06-25 23:50:00,23.0,0,1,1,56.53,1,0,,,0,,0,,,,,,,0,0,0.0,0,0,0.01738223535546671,0,normal
01095970653,010,2026-03-31 10:06:00,10.0,0,1,1,87.27,1,1,0.0,1.0,1,61.76,1,1.0,0.0,,,,,0,0,2.0,0,0,0.011328877308258751,0,normal
16705989,특번,2026-05-21 08:41:00,8.0,0,0,0,,0,1,0.0,1.0,1,7.78,1,1.0,0.0,,,,,0,0,2.0,1,1,0.0,0,normal
01049074946,010,2026-08-10 09:05:00,9.0,1,1,0,,1,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,0,0,0.0,0,normal
15448527,특번,2026-11-27 11:50:00,11.0,0,0,0,,0,0,,,0,,1,1.0,0.0,,,,,0,0,1.0,1,1,0.0,0,normal
16888114,특번,2026-11-11 04:54:00,4.0,1,0,1,43.38,0,0,,,0,,0,,,,,,,0,0,0.0,0,1,0.022532672374943667,0,normal
16663060,특번,2026-01-16 04:19:00,4.0,1,0,0,,1,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,0,0,0.0,0,normal
16004000,특번,2026-07-31 21:10:00,21.0,1,0,0,,0,0,,,0,,1,1.0,0.0,,,,,0,0,1.0,0,1,0.0,0,normal
0423317505,기타,2026-05-09 05:14:00,5.0,0,0,0,,0,1,1.0,1.0,0,,0,,,,,,,0,0,2.0,1,1,0.0,0,normal
01000511132,010,2026-11-10 06:10:00,6.0,0,1,0,,1,1,0.0,1.0,1,9.1,0,,,,,,,0,0,1.0,0,0,0.0,0,normal
16705989,특번,2026-10-18 10:20:00,10.0,0,0,0,,0,0,,,0,,0,,,,,,,0,0,0.0,1,1,0.0,0,normal
01094594401,010,2026-07-27 14:01:00,14.0,0,1,1,1.65,1,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,0,0,0.37735849056603776,0,normal
16888114,특번,2026-04-05 06:25:00,6.0,0,0,0,,0,0,,,0,,0,,,,,,,0,0,0.0,1,1,0.0,0,normal
15223000,특번,2026-01-19 04:48:00,4.0,0,0,0,,0,0,,,0,,1,1.0,0.0,,,,,0,0,1.0,1,1,0.0,0,normal
01083524117,010,2026-05-17 16:49:00,16.0,0,1,0,,1,1,1.0,1.0,0,,0,,,,,,,0,0,2.0,0,0,0.0,0,normal
03180219341,기타,2026-07-15 01:20:00,1.0,0,0,0,,0,1,0.0,1.0,0,,1,1.0,0.0,,,,,0,0,2.0,1,1,0.0,0,normal
15666000,특번,2026-09-12 17:16:00,17.0,0,0,0,,0,1,1.0,1.0,0,,0,,,,,,,0,0,2.0,1,1,0.0,0,normal
0553048731,기타,2026-08-20 16:51:00,16.0,1,0,0,,0,0,,,0,,0,,,,,,,0,0,0.0,0,1,0.0,0,normal
01005922246,010,2026-07-08 22:18:00,22.0,0,1,0,,1,0,,,0,,0,,,,,,,0,0,0.0,0,0,0.0,0,normal
03180751228,기타,2026-04-23 18:48:00,18.0,1,0,0,,0,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,0,1,0.0,0,normal
15660123,특번,2026-02-27 09:34:00,9.0,1,0,0,,0,0,,,0,,0,,,,,,,0,0,0.0,0,1,0.0,0,normal
15881500,특번,2026-06-05 19:59:00,19.0,1,0,0,,0,1,0.0,1.0,0,,1,1.0,0.0,,,,,0,0,2.0,0,1,0.0,0,normal
026180618,02(서울 유선),2026-11-15 15:02:00,15.0,0,0,0,,0,0,,,1,9.5,0,,,,,,,0,0,0.0,1,1,0.0,0,normal
01066115242,010,2026-02-01 10:44:00,10.0,0,1,0,,1,0,,,0,,0,,,,,,,0,0,0.0,0,0,0.0,0,normal
16613000,특번,2026-10-01 06:10:00,6.0,0,0,1,114.01,0,0,,,0,,0,,,,,,,0,0,0.0,1,1,0.008694896095991653,0,normal
01032543841,010,2026-08-29 01:27:00,1.0,0,1,1,5.7,1,0,,,0,,1,1.0,0.0,,,,,0,0,1.0,0,0,0.14925373134328357,0,normal
15443800,특번,2026-07-06 14:46:00,14.0,0,0,0,,0,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,1,1,0.0,0,normal
15777011,특번,2026-07-17 08:59:00,8.0,1,0,0,,0,0,,,0,,0,,,,,,,0,0,0.0,0,1,0.0,0,normal
15665050,특번,2026-02-26 14:29:00,14.0,0,0,0,,0,0,,,1,0.44,0,,,,,,,0,0,0.0,1,1,0.0,0,normal
15993333,특번,2026-06-26 21:37:00,21.0,1,0,0,,0,0,,,0,,0,,,,,,,0,0,0.0,0,1,0.0,0,normal
15991916,특번,2026-11-15 02:49:00,2.0,0,0,0,,0,0,,,1,0.38,0,,,,,,,0,0,0.0,1,1,0.0,0,normal
15998500,특번,2026-12-03 14:55:00,14.0,1,0,0,,0,1,0.0,1.0,0,,1,1.0,0.0,,,,,0,0,2.0,0,1,0.0,0,normal
01055680441,010,2026-11-28 02:44:00,2.0,1,1,0,,0,0,,,0,,0,,,,,,,0,0,0.0,0,0,0.0,0,normal
0098085294753,00X(국제),2026-09-21 17:06:00,17.0,0,0,0,,0,0,,,0,,0,,,,,,,1,1,0.0,1,1,0.0,0,normal
01051003186,010,2026-02-22 13:18:00,13.0,0,1,1,64.95,1,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,0,0,0.015163002274450341,0,normal
0262752275,02(서울 유선),2026-08-03 13:03:00,13.0,1,0,0,,0,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,0,1,0.0,0,normal
15777011,특번,2026-05-10 13:12:00,13.0,0,0,0,,0,0,,,0,,0,,,,,,,0,0,0.0,1,1,0.0,0,normal
15448527,특번,2026-07-13 10:03:00,10.0,1,0,0,,0,0,,,0,,0,,,,,,,0,0,0.0,0,1,0.0,0,normal
15887000,특번,2026-07-09 03:19:00,3.0,1,0,0,,0,0,,,0,,0,,,,,,,0,0,0.0,0,1,0.0,0,normal
01075212425,010,2026-09-09 17:17:00,17.0,0,1,1,573.59,1,1,0.0,1.0,0,,1,1.0,0.0,,,,,0,1,2.0,0,0,0.0017403713952557475,0,normal
15443082,특번,2026-03-03 01:11:00,1.0,0,0,0,,0,1,0.0,1.0,1,11.22,0,,,,,,,0,0,1.0,1,1,0.0,0,normal
01057232074,010,2026-08-05 11:22:00,11.0,0,1,1,10.32,1,1,0.0,1.0,1,11.59,1,1.0,0.0,,,,,0,0,2.0,0,0,0.08833922261484099,0,normal
15889999,특번,2026-09-14 05:18:00,5.0,0,0,0,,1,0,,,0,,0,,,,,,,0,0,0.0,0,0,0.0,0,normal
15883388,특번,2026-11-21 01:13:00,1.0,0,0,1,0.35,0,1,0.0,1.0,0,,1,1.0,0.0,,,,,0,0,2.0,1,1,0.7407407407407407,0,normal
15880037,특번,2026-02-19 04:24:00,4.0,0,0,0,,0,0,,,0,,0,,,,,,,0,0,0.0,1,1,0.0,0,normal
15998500,특번,2026-07-04 22:03:00,22.0,0,0,1,14.49,0,1,0.0,0.0,0,,0,,,,,,,0,0,1.0,1,1,0.0645577792123951,0,normal
01048759318,010,2026-01-04 16:13:00,16.0,1,1,1,59.95,1,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,0,0,0.016406890894175553,0,normal
01089034156,010,2026-07-09 08:55:00,8.0,0,1,1,61.02,1,1,0.0,1.0,1,6.41,0,,,,,,,0,0,1.0,0,0,0.016123831022250887,0,normal
15441120,특번,2026-06-11 13:08:00,13.0,0,0,1,3.03,0,0,,,0,,0,,,,,,,0,0,0.0,1,1,0.2481389578163772,0,normal
01025934889,010,2026-11-11 10:21:00,10.0,0,1,1,2.35,1,0,,,1,0.39,0,,,,,,,0,0,0.0,0,0,0.29850746268656714,0,normal
01067124944,010,2026-06-20 15:27:00,15.0,0,1,1,30.73,1,0,,,0,,0,,,,,,,0,0,0.0,0,0,0.03151591553734636,0,normal
01078547689,010,2026-10-16 10:07:00,10.0,0,1,0,,1,0,,,0,,0,,,,,,,0,0,0.0,0,0,0.0,0,normal
15993333,특번,2026-11-28 13:29:00,13.0,0,0,1,31.68,0,0,,,0,,1,1.0,0.0,,,,,0,0,1.0,1,1,0.030599755201958383,0,normal
15441120,특번,2026-08-22 11:50:00,11.0,1,0,0,,0,0,,,0,,0,,,,,,,0,0,0.0,0,1,0.0,0,normal
15441077,특번,2026-09-18 14:41:00,14.0,0,0,0,,0,1,0.0,1.0,0,,1,1.0,0.0,,,,,0,0,2.0,1,1,0.0,0,normal
15881515,특번,2026-03-22 23:01:00,23.0,1,0,0,,0,0,,,0,,0,,,,,,,0,0,0.0,0,1,0.0,0,normal
15443000,특번,2026-02-23 17:58:00,17.0,1,0,1,0.86,0,0,,,0,,1,1.0,0.0,,,,,0,1,1.0,0,1,0.5376344086021506,0,normal
01044389982,010,2026-12-28 22:20:00,22.0,1,0,1,119.55,1,0,,,0,,0,,,,,,,0,1,0.0,0,0,0.00829531314807134,0,normal
05233363259,기타,2026-10-28 14:24:00,14.0,1,0,0,,0,0,,,0,,1,1.0,0.0,,,,,0,1,1.0,0,1,0.0,0,normal
16888114,특번,2026-11-23 03:03:00,3.0,0,1,1,145.36,0,1,0.0,1.0,1,44.38,1,1.0,0.0,,,,,0,0,2.0,1,0,0.006832467887400929,0,normal
15883388,특번,2026-06-12 23:48:00,23.0,0,0,1,2.06,0,0,,,1,3.17,1,1.0,0.0,,,,,0,0,1.0,1,1,0.32679738562091504,0,normal
01096082043,010,2026-09-01 19:00:00,19.0,1,1,0,,1,1,1.0,1.0,0,,0,,,,,,,0,0,2.0,0,0,0.0,0,normal
025315667,02(서울 유선),2026-08-13 08:51:00,8.0,0,0,0,,0,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,1,1,0.0,0,normal
15880037,특번,2026-04-05 03:34:00,3.0,1,0,1,198.53,0,1,0.0,0.0,0,,0,,,,,,,0,0,1.0,0,1,0.005011777677542224,0,normal
15999999,특번,2026-08-03 03:26:00,3.0,0,0,0,,0,1,0.0,1.0,0,,1,1.0,0.0,,,,,0,0,2.0,1,1,0.0,0,normal
03180219341,기타,2026-02-18 17:54:00,17.0,1,0,0,,0,0,,,0,,1,1.0,0.0,,,,,0,0,1.0,0,1,0.0,0,normal
16705989,특번,2026-04-06 13:31:00,13.0,0,0,0,,0,0,,,0,,0,,,,,,,0,0,0.0,1,1,0.0,0,normal
15991916,특번,2026-06-21 17:21:00,17.0,0,0,0,,0,0,,,0,,1,1.0,0.0,,,,,0,0,1.0,1,1,0.0,0,normal
15443082,특번,2026-05-01 18:31:00,18.0,0,0,0,,0,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,1,1,0.0,0,normal
01038793819,010,2026-12-18 13:46:00,13.0,0,1,1,451.61,0,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,1,0,0.0022094076578069418,0,normal
16663060,특번,2026-03-25 17:17:00,17.0,1,0,0,,0,0,,,0,,1,1.0,0.0,,,,,0,0,1.0,0,1,0.0,0,normal
15880010,특번,2026-08-02 13:00:00,13.0,0,0,0,,0,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,1,1,0.0,0,normal
01027904806,010,2026-04-03 05:06:00,5.0,0,1,0,,1,0,,,0,,0,,,,,,,0,0,0.0,0,0,0.0,0,normal
01002167494,010,2026-06-03 17:24:00,17.0,0,1,1,29.42,1,0,,,1,11.65,0,,,,,,,0,0,0.0,0,0,0.03287310979618672,0,normal
15999000,특번,2026-10-04 04:23:00,4.0,0,0,0,,0,1,0.0,1.0,0,,1,1.0,0.0,,,,,0,0,2.0,1,1,0.0,0,normal
15999999,특번,2026-02-17 14:05:00,14.0,0,0,0,,0,0,,,0,,1,1.0,1.0,,,,,0,0,2.0,1,1,0.0,0,normal
16118078,특번,2026-06-09 13:04:00,13.0,0,0,0,,0,0,,,0,,0,,,,,,,0,0,0.0,1,1,0.0,0,normal
15882588,특번,2026-09-13 20:21:00,20.0,0,0,0,,0,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,1,1,0.0,0,normal
15664295,특번,2026-05-10 02:48:00,2.0,0,0,0,,0,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,1,1,0.0,0,normal
